Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Mushing, M.",YKW,1,5,6,0
"Canton, J.",YKW,1,15,2,0
"Smyles, L.",YKW,1,15,0,0
"Uchiha, L.",YKW,1,5,0,0
"Ones, B.",YKW,0,0,5,0
"Amper, T.",YKW,0,0,4,0
"Pooky, S.",YKW,0,0,3,0
"Rchonsucks, A.",YKW,0,0,3,0
"Marshall, M.",YKW,0,0,1,0
"Grey, S.",BAL,1,5,2,1
"Green, W.",BAL,1,5,0,0
"Harris, B.",BAL,1,5,0,0
"Roenick, A.",BAL,1,5,0,0
"Terim, F.",BAL,1,5,0,0
"Troyski, X.",BAL,1,5,0,0
"Diggler, D.",BAL,0,0,6,0
"L'Alto, V.",BAL,0,0,6,0
"Steele, R.",BAL,0,0,6,0
"Star, L.",BAL,0,0,3,0
"Pancakes, P.",BAL,0,0,2,0
"Jeremy, R.",BAL,0,0,1,0
"Jones, V.",BAL,0,0,1,0
