Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Grithead, D.",YKW,7,1,0,0/0,1,0,0,0,"[0, 0, 0]"
"Kroustis, G.",YKW,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Storm, J.",YKW,7,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Selich, A.",YKW,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Brown, M.",YKW,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Snuggles, J.",YKW,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Uchiha, L.",YKW,4,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Smyles, L.",YKW,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Alexander, N.",YKW,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Leaf Jr., R.",YKW,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Skinner, Z.",YKW,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Acho, M.",BAL,13,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Asipi III, A.",BAL,10,1,0,0/0,1,0,0,0,"[0, 0, 0]"
"Green, W.",BAL,8,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Hornbacher, A.",BAL,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Horne, B.",BAL,5,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Roenick, A.",BAL,4,2,0,0/0,3,0,0,0,"[0, 0, 0]"
"Terim, F.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Troyski, X.",BAL,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
