,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,FG,9:45,30 yd FG by Alex Frost,3,0
2,1,TD,5:12,None Sunnycursed 18 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),3,7
3,1,TD,1:09,Marquise Brown 3 yd run. (Alex Frost kick),10,7
5,2,TD,9:25,Errol Maddox 17 yd pass from Childish Gambino. (Alex Frost kick),17,7
6,2,TD,5:23,Apollo Reed 4 yd run. (Alex Dasistwirklichseinnachname kick),17,14
7,2,FG,0:28,22 yd FG by Alex Dasistwirklichseinnachname,17,17
9,3,SF,7:03,Gus T.T. Showbiz tackled for a safety.,19,17
10,3,FG,1:33,36 yd FG by Alex Frost,22,17
12,4,TD,9:02,Apollo Reed 2 yd run. (2pt conversion failed),22,23
13,4,TD,5:41,Vinny Valentine 34 yd pass from Childish Gambino. (2pt conversion failed),28,23
