Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Sunnycursed, N.",OCO,7,93,13.3,18,1,11,15
"Blaze, J.",OCO,6,60,10,14,0,11,15
"Anoa'i, D.",OCO,4,55,13.8,30,0,11,15
"Crush, C.",OCO,2,52,26,47,0,11,15
"Reed, A.",OCO,1,9,9,9,0,11,15
"Zephyrous, S.",OCO,1,5,5,5,0,11,15
"Maddox, E.",BAL,5,70,14,32,1,11,15
"Brown, M.",BAL,5,36,7.2,13,0,11,15
"L'Alto, V.",BAL,4,42,10.5,19,0,11,15
"Valentine, V.",BAL,3,53,17.7,34,1,11,15
"Harp, D.",BAL,2,27,13.5,21,0,11,15
"Squanch, V.",BAL,1,17,17,17,0,11,15
"Nagasawa, Y.",BAL,1,14,14,14,0,11,15
