,Q,Score Type,Time Remaining,Play,BAL,SJS
2,2,FG,14:26,36 yd FG by Turk Turkleton,3,0
3,2,TD,11:21,Connor Tanner 6 yd pass from Chris Orosz. (Iyah Blewitt kick),3,7
4,2,FG,8:49,33 yd FG by Iyah Blewitt,3,10
5,2,TD,8:16,Torque Lewith 47 yd interception return. (Iyah Blewitt kick),3,17
6,2,TD,5:19,Darren Smallwood 4 yd run. (Iyah Blewitt kick),3,24
7,2,FG,0:15,27 yd FG by Iyah Blewitt,3,27
9,3,TD,6:40,None Stormblessed 13 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,27
11,4,TD,14:34,Owen Taylor 5 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,27
12,4,SF,9:50,Chris Orosz tackled for a safety.,19,27
13,4,TD,5:46,Shane Weston 8 yd pass from Chris Orosz. (Iyah Blewitt kick),19,34
14,4,TD,0:53,Trey Willie 11 yd pass from Avon Blocksdale. (Turk Turkleton kick),26,34
