,Q,Score Type,Time Remaining,Play,AUS,SJS
1,1,FG,6:01,34 yd FG by Kicky Bobby,0,3
2,1,FG,3:59,61 yd FG by Alfredo Crisco,3,3
4,2,FG,15:00,20 yd FG by Kicky Bobby,3,6
5,2,SF,10:28,Dan Wright tackled for a safety.,5,6
7,3,FG,9:20,30 yd FG by Kicky Bobby,5,9
8,3,FG,3:40,42 yd FG by Kicky Bobby,5,12
9,3,TD,0:00,Jacoby Clay 18 yd pass from Easton Cole. (Alfredo Crisco kick),12,12
11,4,TD,12:02,Jacoby Clay 20 yd pass from Easton Cole. (Alfredo Crisco kick),19,12
12,4,TD,6:48,Quindarius Tyerucker 6 yd run. (Kicky Bobby kick),19,19
13,4,FG,2:46,18 yd FG by Alfredo Crisco,22,19
