,Q,Score Type,Time Remaining,Play,CHI,YKW
2,2,FG,5:55,47 yd FG by Kulture Fulture,3,0
3,2,FG,0:55,30 yd FG by Kulture Fulture,6,0
5,3,TD,8:51,Felix Hasselhoff 19 yd pass from Rose Jenkins (R). (Kulture Fulture kick),13,0
6,3,FG,6:32,43 yd FG by Stephen Harris Jr,13,3
7,3,TD,2:55,Kazimir Oles 27 yd pass from Rose Jenkins (R). (Kulture Fulture kick),20,3
9,4,FG,13:54,44 yd FG by Kulture Fulture,23,3
10,4,TD,11:45,Josh Parker 5 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),23,10
11,4,TD,6:36,Tommy Helanen 8 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),23,17
12,4,FG,4:29,35 yd FG by Kulture Fulture,26,17
13,4,TD,0:43,Jerrod Canton 5 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),26,24
