,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,TD,2:26,Darren Smallwood 3 yd run. (Iyah Blewitt kick),0,7
3,2,TD,10:07,Mayran Jackson 34 yd pass from Chris Orosz. (Iyah Blewitt kick),0,14
4,2,TD,7:12,Reg Mackworthy 7 yd run. (Dean Jackson kick),7,14
5,2,TD,5:25,Reg Mackworthy 1 yd run. (Dean Jackson kick),14,14
6,2,FG,2:13,25 yd FG by Iyah Blewitt,14,17
8,3,FG,8:39,31 yd FG by Dean Jackson,17,17
9,3,TD,6:09,Shane Weston 16 yd pass from Chris Orosz. (Iyah Blewitt kick),17,24
11,4,TD,14:08,Shane Weston 22 yd pass from Chris Orosz. (Iyah Blewitt kick),17,31
12,4,TD,11:21,Budda Browning 12 yd pass from King Bronko. (Dean Jackson kick),24,31
13,4,FG,4:08,19 yd FG by Iyah Blewitt,24,34
