,Q,Score Type,Time Remaining,Play,AZ,PHI
1,1,FG,10:52,34 yd FG by Stephen Harris,0,3
2,1,FG,6:55,38 yd FG by Stephen Harris,0,6
4,2,TD,14:27,Fox North 13 yd pass from Tyler Oles. (Stephen Harris kick),0,13
5,2,FG,8:33,30 yd FG by Stephen Harris,0,16
6,2,FG,1:43,34 yd FG by Stephen Harris,0,19
8,3,TD,11:24,Paul DiMirio 22 yd pass from Tyler Oles. (Stephen Harris kick),0,26
9,3,FG,6:01,24 yd FG by Dean Jackson,3,26
10,3,TD,2:38,Kieran O'Connell 8 yd run. (Stephen Harris kick),3,33
12,4,FG,10:57,46 yd FG by Stephen Harris,3,36
13,4,TD,6:51,Kieran O'Connell 1 yd run. (Stephen Harris kick),3,43
