,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,TD,10:35,Darren Smallwood 2 yd run. (Iyah Blewitt kick),7,0
2,1,FG,8:38,44 yd FG by Turk Turkleton,7,3
3,1,TD,0:23,Owen Taylor 2 yd run. (Turk Turkleton kick),7,10
5,2,FG,12:50,35 yd FG by Iyah Blewitt,10,10
6,2,TD,8:53,Alexandre LeClair 32 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,17
7,2,FG,1:41,21 yd FG by Iyah Blewitt,13,17
9,3,TD,8:45,Owen Taylor 3 yd run. (Turk Turkleton kick),13,24
10,3,TD,4:58,Darren Smallwood 3 yd run. (Iyah Blewitt kick),20,24
11,3,FG,1:40,42 yd FG by Iyah Blewitt,23,24
13,4,TD,8:13,Verso L'Alto 4 yd pass from Avon Blocksdale. (Turk Turkleton kick),23,31
14,4,TD,3:07,Budda Browning 61 yd pass from Avon Blocksdale. (Turk Turkleton kick),23,38
