,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,FG,9:00,22 yd FG by None Forfeit,3,0
2,1,FG,2:22,41 yd FG by Adam (R) Anderson,3,3
4,2,TD,7:43,Ricky Adams 1 yd run. (Adam (R) Anderson kick),3,10
5,2,FG,0:13,50 yd FG by Adam (R) Anderson,3,13
7,3,TD,10:04,Seer Zephyrous 4 yd run. (Adam (R) Anderson kick),3,20
8,3,TD,6:13,Borro Gore 3 yd run. (None Forfeit XP no good),9,20
9,3,FG,4:18,45 yd FG by None Forfeit,12,20
10,3,TD,1:08,Josh Garden 3 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),12,27
12,4,TD,11:55,Thomas (R) Carrasco 3 yd run. (None Forfeit kick),19,27
13,4,FG,7:01,34 yd FG by None Forfeit,22,27
14,4,TD,3:53,Tegan Atwell 7 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),22,34
