,Q,Score Type,Time Remaining,Play,AZ,YKW
1,1,TD,11:15,Darren Morris 29 yd interception return. (Dean Jackson kick),7,0
3,2,TD,14:19,Thomas (R) Carrasco 1 yd run. (None Forfeit kick),7,7
4,2,FG,10:06,18 yd FG by None Forfeit,7,10
5,2,TD,6:42,Budda Browning 7 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,10
6,2,FG,4:50,38 yd FG by None Forfeit,14,13
7,2,FG,0:17,47 yd FG by Dean Jackson,17,13
9,3,FG,11:03,20 yd FG by None Forfeit,17,16
10,3,TD,6:06,LaMarcus (R) Strike 1 yd run. (Dean Jackson kick),24,16
12,4,TD,14:13,Glenn McPoyal 5 yd pass from Brad Pennington. (2pt conversion good),24,24
13,4,TD,5:01,Balthazar Crindy 6 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),31,24
14,4,FG,0:32,32 yd FG by Dean Jackson,34,24
