Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Marrett, O.",SJS,2,19,0,0,11,10
"Jahelpme, H.",SJS,1,15,2,1,11,10
"Lagerfield, E.",SJS,1,2,0,0,11,10
"Harrison, S.",SJS,1,15,0,0,11,10
"McKoutchie, M.",SJS,0,0,8,0,11,10
"Probincrux III, D.",SJS,0,0,3,0,11,10
"Rucker, F.",SJS,0,0,1,1,11,10
"Brannigan, Z.",SJS,0,0,1,0,11,10
"Tacktheritrix, J.",SJS,0,0,1,0,11,10
"Rainey, R.",YKW,1,5,3,0,11,10
"Pennington, B.",YKW,1,10,0,0,11,10
"Pennington, C.",YKW,1,9,0,0,11,10
"Amper, T.",YKW,0,0,5,0,11,10
"Mushing, M.",YKW,0,0,4,1,11,10
"Pooky, S.",YKW,0,0,4,0,11,10
"Ones, B.",YKW,0,0,3,0,11,10
"McPoyal, G.",YKW,0,0,2,0,11,10
"Rchon, A.",YKW,0,0,1,2,11,10
