,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,FG,6:41,35 yd FG by Kyle Corbett,3,0
2,1,TD,4:04,Roger Batoff 10 yd pass from Adriana Falconi. (Kulture Fulture kick),3,7
3,1,TD,0:41,Balthazar Crindy 10 yd pass from Micycle McCormick. (Kyle Corbett kick),10,7
5,2,FG,9:29,32 yd FG by Kyle Corbett,13,7
6,2,TD,3:19,Jordan von Matt 2 yd pass from Adriana Falconi. (Kulture Fulture kick),13,14
7,2,FG,0:35,25 yd FG by Kyle Corbett,16,14
9,3,TD,3:51,Fast (R) Boija 2 yd run. (Kulture Fulture kick),16,21
10,3,TD,0:00,Jordan von Matt 27 yd pass from Adriana Falconi. (Kulture Fulture kick),16,28
12,4,TD,11:51,Balthazar Crindy 6 yd pass from Micycle McCormick. (Kyle Corbett kick),23,28
13,4,FG,10:15,38 yd FG by Kulture Fulture,23,31
14,4,TD,7:19,Balthazar Crindy 18 yd pass from Micycle McCormick. (2pt conversion failed),29,31
15,4,TD,2:34,Fast (R) Boija 5 yd run. (Kulture Fulture kick),29,38
