Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Wright Jr, G.",OCO,6,52,8.7,23,0,12,2
"Phelps, R.",OCO,5,124,24.8,39,1,12,2
"Westfield, B.",OCO,5,73,14.6,20,0,12,2
"Willie, T.",OCO,4,45,11.2,21,0,12,2
"Bowers Jr, V.",OCO,2,30,15,23,0,12,2
"Davidson, J.",OCO,1,7,7,7,0,12,2
"Jenkins, L.",OCO,1,1,1,1,0,12,2
"Garden, J.",YKW,7,107,15.3,42,0,12,2
"Cook, B.",YKW,4,59,14.8,21,0,12,2
"Nuck, B.",YKW,4,15,3.8,8,0,12,2
"Maddox, R.",YKW,3,19,6.3,10,0,12,2
"Kennedy, E.",YKW,2,8,4,4,0,12,2
"West, D.",YKW,1,13,13,13,0,12,2
"Kamby, J.",YKW,1,5,5,5,0,12,2
