,Q,Score Type,Time Remaining,Play,OCO,YKW
1,1,FG,10:21,39 yd FG by Archibald Booter,0,3
2,1,TD,4:56,Bradley Westfield 1 yd pass from Mike Boss. (Al Sims kick),7,3
3,1,TD,0:33,Josh Garden 20 yd pass from Chris Orosz. (Archibald Booter kick),7,10
5,2,TD,13:04,Leroy Jenkins 8 yd run. (Al Sims kick),14,10
6,2,TD,8:29,Josh Garden 26 yd pass from Chris Orosz. (Archibald Booter kick),14,17
7,2,TD,8:14,Robert Phelps 107 yd kickoff return. (Al Sims kick),21,17
8,2,FG,5:44,49 yd FG by Archibald Booter,21,20
9,2,FG,0:00,48 yd FG by Archibald Booter,21,23
11,3,TD,7:36,Erlich Burnsman 3 yd run. (Archibald Booter kick),21,30
12,3,FG,0:00,42 yd FG by Archibald Booter,21,33
14,4,TD,0:27,Vick Bowers Jr 2 yd run. (Al Sims kick),28,33
