,Q,Score Type,Time Remaining,Play,NO,COL
1,1,FG,2:29,25 yd FG by Silver Banana,0,3
3,2,TD,13:09,Austin McCormick 8 yd pass from Ben Slothlisberger. (Lefty Louis kick),7,3
4,2,TD,9:35,Richard Gilbert 5 yd run. (Silver Banana kick),7,10
5,2,TD,6:27,Mike Rotchburns (R) 3 yd run. (Lefty Louis kick),14,10
6,2,TD,3:26,Darrel Williams 5 yd run. (Silver Banana kick),14,17
7,2,FG,0:10,34 yd FG by Lefty Louis,17,17
9,3,FG,10:54,47 yd FG by Lefty Louis,20,17
10,3,FG,5:09,43 yd FG by Lefty Louis,23,17
12,4,TD,11:24,William Lim (C) 19 yd pass from Mattathias Caliban (R). (Silver Banana kick),23,24
13,4,TD,5:51,Darrel Williams 10 yd pass from Mattathias Caliban (R). (Silver Banana kick),23,31
14,4,TD,1:04,Marcella Toriki (C) 13 yd run. (2pt conversion good),31,31
16,5,TD,11:15,Darrel Williams 16 yd pass from Mattathias Caliban (R).,31,37
