Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"de Pengu, A.",COL,11,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,8,26
"FootballLeague, N.",COL,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Drake, J.",COL,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Purchase, L.",COL,7,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,8,26
"Murder-Moose, M.",COL,6,0,2,0/0,1,0,0,0,0/0/0,0,0,0,0,8,26
"Smoothie, E.",COL,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Edd, B.",COL,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Ruschmann, A.",COL,4,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Vuxta, R.",COL,2,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,8,26
"Blackstone, I.",COL,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"McFredbeard, R.",COL,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Thruster, D.",COL,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,8,26
"Light, B.",NO,11,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Zbornak, D.",NO,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Blaylock, M.",NO,5,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Hexagon, L.",NO,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Witten, A.",NO,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Bode, Q.",NO,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Simwell, L.",NO,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Toblerone, M.",NO,4,1,0,1/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Rector, D.",NO,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Ranger, A.",NO,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
"Rikiya, M.",NO,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,26
