Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Johns, A.",OCO,0,0,7,0
"Wokkenfuss, G.",OCO,0,0,7,0
"Bigby, L.",OCO,0,0,5,0
"Harrison, H.",OCO,0,0,4,2
"Blaze, J.",OCO,0,0,3,0
"Iridian, G.",OCO,0,0,1,0
"Pak, Y.",OCO,0,0,1,0
"Sarvepally, S.",OCO,0,0,1,0
"Pest, T.",SJS,3,16,2,0
"McDavid, L.",SJS,1,5,1,0
"Tyerucker, Q.",SJS,1,5,1,0
"Johnson, R.",SJS,1,5,0,1
"Cardrissian, R.",SJS,1,15,0,0
"Ennis, B.",SJS,1,15,0,0
"Bot, B.",SJS,0,0,4,0
"Lee, B.",SJS,0,0,2,1
"Pancake, P.",SJS,0,0,2,0
"Dodggy, B.",SJS,0,0,1,0
