,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,TD,10:46,Ricky Adams 16 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,7
3,2,FG,15:00,41 yd FG by Adam Anderson,0,10
4,2,FG,7:03,31 yd FG by None Forfeit,3,10
5,2,TD,5:08,Dick (R) Wizardry 1 yd run. (None Forfeit kick),10,10
6,2,FG,0:13,49 yd FG by None Forfeit,13,10
8,3,FG,10:56,17 yd FG by Adam Anderson,13,13
9,3,TD,0:00,Dick (R) Wizardry 1 yd run. (None Forfeit kick),20,13
11,4,TD,12:19,Seer Zephyrous 6 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),20,20
12,4,FG,8:06,34 yd FG by None Forfeit,23,20
13,4,FG,0:44,33 yd FG by None Forfeit,26,20
