,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,FG,10:32,42 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,TD,2:31,Zed Keppler (R) 7 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),3,7
4,2,FG,12:10,18 yd FG by Alex Dasistwirklichseinnachname,6,7
5,2,TD,5:27,Joseph Petrongolo (R) 1 yd run. (J.J. Jay-Jaymison kick),6,14
6,2,FG,1:36,23 yd FG by Alex Dasistwirklichseinnachname,9,14
8,3,TD,6:27,Zed Keppler (R) 4 yd run. (J.J. Jay-Jaymison kick),9,21
9,3,TD,4:36,Franklin Armstrong 19 yd run. (Alex Dasistwirklichseinnachname kick),16,21
10,3,TD,0:00,Saba Donut 1 yd pass from Jay Cue. (J.J. Jay-Jaymison XP no good),16,27
12,4,TD,10:25,Tatsu Nakamura 4 yd run. (2pt conversion failed),22,27
13,4,FG,7:28,44 yd FG by J.J. Jay-Jaymison,22,30
