Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Jadakiss, D.",AZ,12,0,0,0,0,0,0,0,0,0,0,0,16,24
"Quin, A.",AZ,11,0,0,2,0,0,0,0,0,0,0,0,16,24
"Kehla, Z.",AZ,6,0,0,3,0,0,0,0,0,0,0,0,16,24
"Blanco, B.",AZ,4,0,0,0,0,0,0,0,0,0,0,0,16,24
"Masters, S.",AZ,4,1,0,0,0,0,0,0,0,0,0,0,16,24
"Wilf, G.",AZ,4,0,1,2,0,0,0,0,0,0,0,0,16,24
"Miller, P.",AZ,3,0,1,0,0,0,0,0,0,0,0,0,16,24
"Koniecpolski, S.",AZ,2,0,0,0,0,0,0,0,0,0,0,0,16,24
"Miller II, C.",AZ,2,0,0,0,0,0,0,0,0,0,0,0,16,24
"Ryeu, S.",AZ,1,0,0,0,0,0,0,0,0,0,0,0,16,24
"Scarlett, D.",AZ,1,0,0,0,0,0,0,0,0,0,0,0,16,24
"Deck, I.",OCO,12,0,0,0,0,0,0,0,0,0,0,0,16,24
"Joestar, J.",OCO,7,0,0,0,0,0,0,0,0,0,0,0,16,24
"Biggums, T.",OCO,5,0,0,1,0,0,0,0,0,0,0,0,16,24
"Eagle, R.",OCO,5,0,2,0,0,0,0,0,0,0,0,0,16,24
"Jones, D.",OCO,5,3,0,0,0,0,0,0,0,0,0,0,16,24
"Wheezer, C.",OCO,5,1,0,0,0,0,0,0,0,0,0,0,16,24
"Abernathy, K.",OCO,4,0,0,0,0,0,0,0,0,0,0,0,16,24
"Bob, B.",OCO,4,0,0,0,0,0,0,0,0,0,0,0,16,24
"Vegeta, P.",OCO,4,0,0,0,0,0,0,0,0,0,0,0,16,24
"Beerus, L.",OCO,2,0,0,1,0,0,0,0,0,0,0,0,16,24
"Ocewilder, S.",OCO,2,0,0,0,0,0,0,0,0,0,0,0,16,24
