,Q,Score Type,Time Remaining,Play,OCO,BAL
2,2,FG,14:52,42 yd FG by Datsum PhastBawls,0,3
3,2,TD,10:58,Jeffrey Phillips 2 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),7,3
4,2,FG,4:35,39 yd FG by Alex Dasistwirklichseinnachname,10,3
5,2,FG,0:14,42 yd FG by Datsum PhastBawls,10,6
7,3,TD,12:39,Doug Howlett (R) 16 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),10,13
8,3,TD,3:59,Mai Fukushu 5 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),10,20
9,3,FG,1:26,38 yd FG by Alex Dasistwirklichseinnachname,13,20
11,4,TD,13:57,Doug Howlett (R) 20 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),13,27
12,4,TD,10:29,Garfield Despacito Jr. 23 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),20,27
13,4,FG,7:59,43 yd FG by Datsum PhastBawls,20,30
14,4,TD,3:54,Tatsu Nakamura (C) 4 yd run. (Alex Dasistwirklichseinnachname kick),27,30
15,4,FG,0:01,35 yd FG by Datsum PhastBawls,27,33
