Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Gelbman, T.",CHI,6,24,4,8,1,3,24
"O'Leary, S.",CHI,5,116,23.2,35,0,3,24
"Rodriguez, B.",CHI,4,61,15.2,28,2,3,24
"Scabbia, L.",CHI,3,14,4.7,8,0,3,24
"Tirtawidjaja, J.",CHI,2,15,7.5,9,0,3,24
"Oberwald, G.",CHI,1,16,16,16,0,3,24
"Yoda, B.",CHI,1,10,10,10,0,3,24
"Cash Jr., S.",YKW,5,51,10.2,16,1,3,24
"Sakura, K.",YKW,4,79,19.8,36,0,3,24
"Jackson, A.",YKW,2,26,13,16,1,3,24
"Rechs, Z.",YKW,2,12,6,7,0,3,24
"Hanyadi, M.",YKW,1,9,9,9,0,3,24
"Lee, M.",YKW,1,7,7,7,0,3,24
