Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Ocewilder, S.",OCO,1,5,0,0,5,24
"Wheezer, C.",OCO,1,5,0,0,5,24
"Pak, Y.",OCO,0,0,3,0,5,24
"Harrison, H.",OCO,0,0,2,1,5,24
"Johns, A.",OCO,0,0,2,1,5,24
"Quail, D.",OCO,0,0,2,0,5,24
"George, D.",OCO,0,0,1,0,5,24
"Iridian, G.",OCO,0,0,1,0,5,24
"Nakamura, T.",OCO,0,0,1,0,5,24
"Phillips, J.",OCO,0,0,1,0,5,24
"Block, T.",AZ,1,5,2,0,5,24
"Blanco, B.",AZ,1,5,0,0,5,24
"Koniecpolski, S.",AZ,1,15,0,0,5,24
"Miller, P.",AZ,1,5,0,0,5,24
"Wilf, G.",AZ,1,5,0,0,5,24
"Buckley, B.",AZ,0,0,5,0,5,24
"Unk, J.",AZ,0,0,3,2,5,24
"Evans, H.",AZ,0,0,2,0,5,24
"Jones, J.",AZ,0,0,2,0,5,24
"Golladay, C.",AZ,0,0,0,1,5,24
