,Q,Score Type,Time Remaining,Play,BAL,AZ
1,1,TD,13:42,Slim Shady 1 yd run. (Dean Jackson kick),0,7
2,1,FG,10:46,23 yd FG by Alex Frost,3,7
3,1,FG,4:01,46 yd FG by Dean Jackson,3,10
5,2,FG,14:16,25 yd FG by Alex Frost,6,10
6,2,TD,10:56,Marquise Brown 8 yd run. (Alex Frost kick),13,10
7,2,TD,6:44,Verso L'Alto 11 yd pass from Childish Gambino. (Alex Frost XP no good),19,10
9,3,FG,8:24,35 yd FG by Dean Jackson,19,13
10,3,TD,5:16,Vinny Valentine 41 yd pass from Childish Gambino. (Alex Frost kick),26,13
12,4,TD,8:51,Vinny Valentine 7 yd pass from Childish Gambino. (Alex Frost XP no good),32,13
13,4,TD,4:17,Marquise Brown 12 yd run. (Alex Frost kick),39,13
14,4,TD,2:42,Viggo Squanch 8 yd pass from Childish Gambino. (Alex Frost kick),46,13
