,Q,Score Type,Time Remaining,Play,AZ,PHI
1,1,FG,13:05,45 yd FG by Dean Jackson,3,0
2,1,FG,6:13,28 yd FG by Dean Jackson,6,0
3,1,FG,2:25,43 yd FG by Kulture Fulture,6,3
5,2,FG,13:42,32 yd FG by Dean Jackson,9,3
6,2,FG,6:57,18 yd FG by Kulture Fulture,9,6
7,2,TD,1:11,Slim Shady 1 yd run. (Dean Jackson kick),16,6
9,3,TD,11:22,Ricky Adams 12 yd pass from Andrew Reese. (Dean Jackson kick),23,6
10,3,FG,6:11,26 yd FG by Kulture Fulture,23,9
11,3,FG,0:40,46 yd FG by Kulture Fulture,23,12
13,4,FG,11:13,18 yd FG by Dean Jackson,26,12
14,4,FG,6:17,45 yd FG by Kulture Fulture,26,15
