Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Maddox, E.",BAL,6,98,16.3,30,2,6,15
"L'Alto, V.",BAL,6,73,12.2,46,0,6,15
"Valentine, V.",BAL,5,116,23.2,39,1,6,15
"Brown, M.",BAL,4,21,5.2,8,0,6,15
"Harp, D.",BAL,3,20,6.7,8,0,6,15
"Nagasawa, Y.",BAL,2,25,12.5,15,0,6,15
"Squanch, V.",BAL,1,2,2,2,0,6,15
"Brannigan, Z.",PHI,6,35,5.8,14,0,6,15
"von Matt, J.",PHI,4,60,15,25,0,6,15
"Varga, N.",PHI,4,27,6.8,8,0,6,15
"Bush, C.",PHI,3,59,19.7,28,0,6,15
"Batoff, R.",PHI,1,7,7,7,0,6,15
"Hank, F.",PHI,1,6,6,6,0,6,15
"Jones, V.",PHI,1,0,0,0,0,6,15
