,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,12:12,24 yd FG by Kulture Fulture,3,0
2,1,TD,10:00,Marquise Brown 3 yd run. (Alex Frost kick),3,7
3,1,TD,2:41,Errol Maddox 27 yd pass from Childish Gambino. (Alex Frost kick),3,14
5,2,TD,9:57,Errol Maddox 5 yd pass from Childish Gambino. (Alex Frost kick),3,21
6,2,TD,3:05,Vinny Valentine 10 yd pass from Childish Gambino. (Alex Frost kick),3,28
8,3,FG,8:40,25 yd FG by Alex Frost,3,31
9,3,FG,1:05,36 yd FG by Alex Frost,3,34
11,4,TD,9:42,Vander Jones 2 yd run. (Kulture Fulture kick),10,34
12,4,TD,6:16,Childish Gambino 15 yd run. (Alex Frost kick),10,41
13,4,TD,5:10,Walt Green 32 yd interception return. (Alex Frost kick),10,48
