,Q,Score Type,Time Remaining,Play,NO,AZ
1,1,TD,12:14,Mayran Jackson 24 yd pass from Borkus Maximus III. (Iyah Blewitt kick),7,0
2,1,TD,6:16,Charles Arthur Chess 10 yd pass from Kevin (R) Fitzpatrick. (Dean Jackson kick),7,7
3,1,FG,2:57,41 yd FG by Iyah Blewitt,10,7
5,2,FG,10:55,19 yd FG by Iyah Blewitt,13,7
6,2,TD,5:18,Charlie Law 21 yd pass from Borkus Maximus III. (Iyah Blewitt kick),20,7
7,2,FG,1:11,24 yd FG by Dean Jackson,20,10
9,3,TD,13:50,Darren Smallwood 1 yd run. (Iyah Blewitt kick),27,10
10,3,FG,2:32,19 yd FG by Dean Jackson,27,13
12,4,TD,14:54,Darren Smallwood 2 yd run. (Iyah Blewitt kick),34,13
13,4,FG,2:05,29 yd FG by Iyah Blewitt,37,13
