,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,FG,5:40,45 yd FG by Diego Espinosa (R),3,0
3,2,TD,10:08,Marcella Toriki 1 yd run. (Herbert Prohaska (R) kick),3,7
4,2,TD,8:53,Forrest Gump 1 yd run. (Herbert Prohaska (R) kick),3,14
5,2,TD,4:36,Saba Donut 32 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),10,14
6,2,FG,0:28,39 yd FG by Herbert Prohaska (R),10,17
8,3,TD,9:43,Forrest Gump 1 yd run. (Herbert Prohaska (R) kick),10,24
9,3,TD,6:11,Bona'beri Jones 25 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),10,31
10,3,TD,3:00,Charles Allan 10 yd run. (Diego Espinosa (R) XP no good),16,31
12,4,TD,7:51,Forrest Gump 9 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),16,38
13,4,FG,3:32,26 yd FG by Herbert Prohaska (R),16,41
