,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,10:57,Eric Kennedy 39 yd pass from Mat Akselsen. (None Forfeit kick),7,0
2,1,FG,5:24,39 yd FG by Iyah Blewitt,7,3
3,1,FG,1:09,36 yd FG by None Forfeit,10,3
4,1,TD,0:34,Dermot Lavelle 41 yd interception return. (None Forfeit kick),17,3
6,2,TD,7:36,Franklin Harris Jr. 6 yd pass from Mat Akselsen. (None Forfeit kick),24,3
7,2,FG,3:24,33 yd FG by Iyah Blewitt,24,6
9,3,TD,14:12,Dermot Lavelle 7 yd pass from Mat Akselsen. (None Forfeit kick),31,6
10,3,TD,12:15,Robby Rainey 4 yd run. (None Forfeit kick),38,6
11,3,TD,3:01,Robby Rainey 5 yd run. (None Forfeit kick),45,6
13,4,TD,14:10,Shane Weston 79 yd punt return. (Iyah Blewitt kick),45,13
14,4,TD,7:18,Mayran Jackson 19 yd pass from Brad (R) Pennington. (Iyah Blewitt kick),45,20
15,4,TD,0:54,Shane Weston 1 yd pass from Brad (R) Pennington. (Iyah Blewitt kick),45,27
