Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Dumchester, L.",OCO,2,20,2,1
"Adams, R.",OCO,1,15,1,0
"Ramero, R.",OCO,1,5,0,0
"Minchester, M.",OCO,0,0,6,0
"Tim, T.",OCO,0,0,4,0
"Zephyrous, S.",OCO,0,0,2,0
"Manchester, M.",OCO,0,0,1,0
"Guard, R.",COL,1,5,3,0
"Centre, S.",COL,1,5,2,0
"Bishop, J.",COL,1,5,0,0
"Marrett, O.",COL,1,5,0,0
"Miller, H.",COL,1,10,0,0
"Montgomery, B.",COL,1,5,0,0
"Guard, L.",COL,0,0,5,0
"Tackle, L.",COL,0,0,4,0
"Tackle, R.",COL,0,0,4,0
"Chipmunk, A.",COL,0,0,2,0
"L'Alto, V.",COL,0,0,2,0
