,Q,Score Type,Time Remaining,Play,COL,OCO
2,2,FG,12:34,35 yd FG by Alex Dasistwirklichseinnachname,0,3
3,2,TD,5:44,Future Trunks 8 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,10
4,2,TD,3:44,Thor Kirkby 29 yd interception return. (Silver Banana kick),7,10
5,2,TD,0:52,Ludicolo Bigby 1 yd run. (Alex Dasistwirklichseinnachname kick),7,17
7,3,TD,13:06,Franklin Armstrong 66 yd run. (Alex Dasistwirklichseinnachname kick),7,24
8,3,FG,9:01,29 yd FG by Silver Banana,10,24
9,3,TD,3:37,Jeffrey Phillips (R) 2 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),10,31
11,4,TD,14:40,Hugh Mongo 3 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),10,38
12,4,FG,8:27,44 yd FG by Alex Dasistwirklichseinnachname,10,41
13,4,TD,0:03,James Bishop 10 yd pass from Wolfie McDummy. (Silver Banana kick),17,41
