Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Eat, M.",CHI,0,0,5,0
"Harp, D.",CHI,0,0,4,0
"Laughter, S.",CHI,0,0,4,0
"Leaver, C.",CHI,0,0,3,1
"Utchers, B.",CHI,0,0,3,1
"Lood, B.",CHI,0,0,3,0
"Torenson, S.",CHI,0,0,2,1
"Jimbo, D.",BAL,1,10,1,0
"Asipi III, A.",BAL,1,5,0,0
"Green, W.",BAL,1,5,0,0
"Horne, B.",BAL,1,15,0,0
"Nagasawa, Y.",BAL,1,5,0,0
"Troyski, X.",BAL,1,5,0,0
"L'Alto, V.",BAL,0,0,7,0
"Star, L.",BAL,0,0,4,0
"Grey, S.",BAL,0,0,3,0
"Jeremy, R.",BAL,0,0,3,0
"Diggler, D.",BAL,0,0,2,0
"Steele, R.",BAL,0,0,2,0
"Brown, M.",BAL,0,0,1,0
