Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"McBooty, B.",LV,2,10,2,0,5,5
"Cuzheforcedlegiontoretire, B.",LV,0,0,4,1,5,5
"LittlerBot, S.",LV,0,0,3,0,5,5
"Askins, J.",LV,0,0,2,0,5,5
"Savea, A.",LV,0,0,2,0,5,5
"Swift, T.",LV,0,0,2,0,5,5
"Vibrations, F.",COL,1,5,3,0,5,5
"Crush, C.",COL,1,10,1,0,5,5
"Bly Jr., A.",COL,1,5,0,0,5,5
"Erikson, V.",COL,1,15,0,0,5,5
"Saint, J.",COL,1,10,0,0,5,5
"Tillman, M.",COL,1,15,0,0,5,5
"Bastard, F.",COL,0,0,5,0,5,5
"Knuckler, B.",COL,0,0,4,0,5,5
"Down, D.",COL,0,0,1,0,5,5
"Farlane, D.",COL,0,0,1,0,5,5
"Windchesthair, A.",COL,0,0,1,0,5,5
