,Q,Score Type,Time Remaining,Play,LV,YKW
1,1,TD,8:16,Eric Kennedy 2 yd pass from Chris Orosz. (Archibald Booter kick),0,7
2,1,TD,2:41,Bailey Cook 18 yd pass from Chris Orosz. (Archibald Booter kick),0,14
4,2,SF,8:05,Ardie Savea tackled for a safety.,0,16
5,2,TD,4:45,Josh Garden 3 yd pass from Chris Orosz. (Archibald Booter kick),0,23
7,3,TD,12:18,Josh Garden 14 yd pass from Chris Orosz. (Archibald Booter kick),0,30
8,3,TD,8:19,DJ Law 13 yd pass from Chris Orosz. (Archibald Booter kick),0,37
9,3,FG,5:03,34 yd FG by Archibald Booter,0,40
10,3,FG,1:18,47 yd FG by Brandon Walsh,3,40
12,4,FG,12:00,19 yd FG by Archibald Booter,3,43
13,4,FG,6:10,38 yd FG by Brandon Walsh,6,43
14,4,TD,4:26,Timote Shoate 34 yd interception return. (Brandon Walsh kick),13,43
15,4,TD,0:00,Eric Kennedy 3 yd run. (Archibald Booter kick),13,50
