Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Floggity, J.",AZ,7,0,0,1,0,0,0,0,0,0,0,0,8,9
"Davis, A.",AZ,5,0,0,1,1,0,0,0,0,0,0,0,8,9
"Dwyer, J.",AZ,5,0,0,0,0,0,0,0,0,0,0,0,8,9
"Hackett, A.",AZ,5,0,0,2,0,0,0,0,0,0,0,0,8,9
"Morris, D.",AZ,5,0,0,0,0,0,0,1,0,0,0,0,8,9
"Tiernan, L.",AZ,5,0,0,0,0,0,0,0,0,0,0,0,8,9
"Ernston, H.",AZ,4,0,0,0,0,0,0,0,0,0,0,0,8,9
"Medved, E.",AZ,3,1,1,0,0,0,0,0,0,0,0,0,8,9
"Barnes, B.",AZ,2,0,1,0,0,0,0,0,0,0,0,0,8,9
"Ramrio, M.",AZ,2,0,0,0,0,0,0,0,0,0,0,0,8,9
"Waiters, A.",AZ,1,0,0,0,0,0,0,0,0,0,0,0,8,9
"Anderson, R.",COL,7,0,0,0,0,0,0,0,0,0,0,0,8,9
"Bly Jr., A.",COL,7,0,0,0,0,0,0,0,0,0,0,0,8,9
"Ramero, R.",COL,7,0,1,0,0,0,0,0,0,0,0,0,8,9
"Sandoval, A.",COL,6,0,0,0,0,0,0,0,0,0,0,0,8,9
"Ishigawa, H.",COL,5,0,0,1,0,0,0,0,0,0,0,0,8,9
"Saint, J.",COL,5,0,0,1,0,0,0,0,0,0,0,0,8,9
"Tillman, M.",COL,5,0,0,2,0,0,0,0,0,0,0,0,8,9
"Kamaka, E.",COL,2,1,0,0,0,0,0,0,0,0,0,0,8,9
"Thibault, A.",COL,1,0,0,0,0,0,0,0,0,0,0,0,8,9
"Wheat, B.",COL,0,0,0,0,0,0,0,0,1,0,0,0,8,9
