,Q,Score Type,Time Remaining,Play,COL,AZ
1,1,TD,12:27,Damien Kroetch 33 yd pass from Ryan Applehort. (Micycle McCormick kick),7,0
2,1,TD,11:53,Reg Mackworthy 5 yd run. (Dean Jackson kick),7,7
3,1,TD,6:26,Viggo Squanch 3 yd pass from Kevin (R) Fitzpatrick. (Dean Jackson kick),7,14
5,2,TD,11:12,Dwayne Aaron 11 yd pass from Ryan Applehort. (Micycle McCormick kick),14,14
6,2,FG,2:21,34 yd FG by Micycle McCormick,17,14
8,3,FG,10:18,41 yd FG by Dean Jackson,17,17
9,3,TD,6:40,Dwayne Aaron 3 yd pass from Ryan Applehort. (Micycle McCormick kick),24,17
10,3,FG,0:39,19 yd FG by Dean Jackson,24,20
12,4,TD,9:04,Reg Mackworthy 7 yd run. (Dean Jackson kick),24,27
13,4,TD,3:25,Mark Grau 10 yd pass from Ryan Applehort. (Micycle McCormick kick),31,27
