,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,TD,9:46,Josh Parker 1 yd pass from Ryan Applehort. (None Forfeit kick),7,0
2,1,TD,5:42,Thomas Carrasco 4 yd run. (None Forfeit kick),14,0
3,1,FG,2:47,25 yd FG by Beat Meoff,14,3
5,2,TD,13:15,Brad Pennington 15 yd pass from Ryan Applehort. (None Forfeit kick),21,3
6,2,TD,3:10,Stan (R) Francisco 2 yd pass from Borkus Maximus III. (Beat Meoff kick),21,10
7,2,FG,0:06,51 yd FG by None Forfeit,24,10
9,3,TD,10:32,Vladimir Fyodorovich 6 yd pass from Borkus Maximus III. (Beat Meoff kick),24,17
10,3,TD,5:01,Dick Wizardry 2 yd run. (None Forfeit kick),31,17
12,4,TD,8:13,Dick Wizardry 2 yd run. (None Forfeit kick),38,17
13,4,TD,1:55,Brad Pennington 8 yd pass from Ryan Applehort. (None Forfeit kick),45,17
