Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Gaines, N.",AUS,6,120,20,46,1,14,24
"Mendonca, M.",AUS,3,84,28,40,0,14,24
"Jeeta, E.",AUS,3,59,19.7,28,0,14,24
"Videl-San, N.",AUS,2,41,20.5,37,1,14,24
"Larson, P.",AUS,1,9,9,9,0,14,24
"Tidwell, R.",AUS,1,9,9,9,1,14,24
"Phillips, J.",OCO,9,111,12.3,32,0,14,24
"Trunks, F.",OCO,6,125,20.8,51,2,14,24
"George, D.",OCO,5,40,8,23,0,14,24
"Despacito Jr., G.",OCO,4,47,11.8,17,1,14,24
"Mongo, H.",OCO,4,24,6,10,1,14,24
"Nakamura, T.",OCO,4,8,2,4,0,14,24
"McZeal, K.",OCO,1,9,9,9,0,14,24
