,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,FG,7:09,33 yd FG by Alfredo Crisco,0,3
2,1,TD,3:26,Future Trunks 23 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,3
3,1,TD,1:00,Rod Tidwell 9 yd pass from Easton Cole. (Alfredo Crisco kick),7,10
5,2,FG,6:51,34 yd FG by Alfredo Crisco,7,13
6,2,FG,0:16,38 yd FG by Alex Dasistwirklichseinnachname,10,13
8,3,TD,7:43,Garfield Despacito Jr. (R) 10 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),17,13
9,3,TD,3:52,Net Gaines 8 yd pass from Easton Cole. (Alfredo Crisco kick),17,20
10,3,TD,0:00,Future Trunks 51 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),24,20
12,4,TD,9:29,None Videl-San (R) 4 yd pass from Easton Cole. (Alfredo Crisco kick),24,27
13,4,FG,3:35,37 yd FG by Alex Dasistwirklichseinnachname,27,27
14,4,TD,1:31,Hugh Mongo 1 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),34,27
15,4,TD,1:12,Dermot Lavelle Jr. 95 yd kickoff return. (Alfredo Crisco kick),34,34
17,5,FG,9:34,46 yd FG by Alfredo Crisco,34,37
