,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,12:25,Verso L'Alto 1 yd pass from Corvo Havran. (ForThe Brand kick),0,7
2,1,FG,5:16,45 yd FG by ForThe Brand,0,10
3,1,FG,0:50,40 yd FG by ForThe Brand,0,13
4,1,TD,0:35,Logan Lejune 93 yd kickoff return. (Joshua Jones II (R) kick),7,13
6,2,FG,13:02,35 yd FG by Joshua Jones II (R),10,13
7,2,TD,8:59,Errol Maddox 29 yd pass from Corvo Havran. (ForThe Brand kick),10,20
8,2,FG,2:24,19 yd FG by ForThe Brand,10,23
9,2,FG,0:06,48 yd FG by Joshua Jones II (R),13,23
11,3,TD,11:46,Terry Taffy 4 yd run. (Joshua Jones II (R) kick),20,23
12,3,TD,5:39,Verso L'Alto 9 yd pass from Corvo Havran. (ForThe Brand kick),20,30
14,4,TD,4:56,Corey Trevor 5 yd pass from Corvo Havran. (ForThe Brand kick),20,37
15,4,FG,1:01,28 yd FG by ForThe Brand,20,40
