,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,FG,9:16,23 yd FG by Silver Banana,0,3
2,1,FG,5:36,40 yd FG by Lefty Louis (R),3,3
4,2,TD,11:05,Randy Vuxta 32 yd pass from Brock Phoenix. (Lefty Louis (R) kick),10,3
5,2,FG,7:53,24 yd FG by Silver Banana,10,6
6,2,TD,3:44,Nacho Varga 22 yd pass from Brock Phoenix. (Lefty Louis (R) XP no good),16,6
7,2,FG,0:26,35 yd FG by Silver Banana,16,9
9,3,TD,12:29,Ashley Owens 7 yd pass from Wolfie McDummy. (Silver Banana kick),16,16
10,3,TD,0:02,Ashley Owens 5 yd pass from Wolfie McDummy. (Silver Banana kick),16,23
12,4,FG,9:27,44 yd FG by Silver Banana,16,26
13,4,TD,0:16,Michael Vincent 2 yd run. (Silver Banana kick),16,33
