Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Bowie, M.",AUS,5,0,1,1/1,1,1,0,0,0/0/0,1,0,0,0,9,25
"Lavelle Jr., D.",AUS,5,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,9,25
"Isbest, C.",AUS,4,0,1,0/0,0,0,1,0,0/0/0,0,0,0,0,9,25
"Claxton, S.",AUS,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Crooks, L.",AUS,3,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,9,25
"Arianlacher, M.",AUS,2,0,2,0/0,2,0,0,0,0/0/0,0,0,0,0,9,25
"Mendoza, C.",AUS,2,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,9,25
"Porter, G.",AUS,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Egghands, T.",AUS,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"MacGregor, G.",AUS,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Montain, T.",AUS,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"De Ville, D.",BAL,11,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Harris, C.",BAL,9,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,9,25
"Syracuse, I.",BAL,9,0,1,0/0,1,1,0,0,0/0/0,0,0,0,0,9,25
"Avery, E.",BAL,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Goodman, G.",BAL,6,3,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Green, W.",BAL,6,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,9,25
"Kennedy, D.",BAL,6,1,3,0/0,2,0,0,0,0/0/0,0,0,0,0,9,25
"Hole, M.",BAL,4,3,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Stackinpaper, B.",BAL,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,9,25
"Annastesia, N.",BAL,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Keiki-Kane, M.",BAL,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
