,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,FG,9:13,23 yd FG by Alex Dasistwirklichseinnachname,0,3
2,1,FG,6:36,39 yd FG by Alex Dasistwirklichseinnachname,0,6
3,1,FG,4:53,24 yd FG by Alex Dasistwirklichseinnachname,0,9
4,1,FG,1:41,39 yd FG by Alex Dasistwirklichseinnachname,0,12
6,2,TD,9:49,Jeffrey Phillips 18 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),0,19
7,2,TD,7:29,Acura Skyline 46 yd pass from Colby Jack. (Blago Kokot (R) kick),7,19
8,2,FG,2:15,31 yd FG by Blago Kokot (R),10,19
10,3,FG,7:55,35 yd FG by Alex Dasistwirklichseinnachname,10,22
11,3,TD,4:30,Future Trunks 23 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),10,29
13,4,FG,6:17,27 yd FG by Blago Kokot (R),13,29
14,4,TD,1:50,Garfield Despacito Jr. 2 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),13,36
