Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Abernathy, K.",OCO,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Joestar, J.",OCO,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Tank, G.",OCO,7,0,2,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Biggums, T.",OCO,5,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Vegeta, P.",OCO,5,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,9,25
"Jones, D.",OCO,4,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Beerus, L.",OCO,3,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,9,25
"Deck, I.",OCO,3,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Eagle, R.",OCO,3,0,1,1/1,0,0,0,0,0/0/0,1,0,0,0,9,25
"Bob, B.",OCO,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Boucher, B.",OCO,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Wheezer, C.",OCO,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Nakamura, T.",OCO,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,9,25
"Thomaslacher, B.",YKW,9,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Quaid, D.",YKW,7,0,1,0/0,1,1,0,0,0/0/0,0,0,0,0,9,25
"Hellzapoppin, J.",YKW,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Leonard, M.",YKW,6,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,9,25
"Dookmarriot, L.",YKW,5,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,9,25
"Cho, J.",YKW,4,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Alexander, N.",YKW,3,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Foster, D.",YKW,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,9,25
"Money, P.",YKW,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Thebaw, S.",YKW,3,2,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Valdyr, M.",YKW,3,0,1,1/0,2,0,0,0,0/0/0,0,0,0,0,9,25
