,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,5:58,Marcella Toriki 4 yd run. (Herbert Prohaska XP no good),0,6
2,1,FG,1:25,49 yd FG by Herbert Prohaska,0,9
4,2,FG,11:50,28 yd FG by J.J. Jay-Jaymison (R),3,9
5,2,FG,9:50,43 yd FG by Herbert Prohaska,3,12
6,2,TD,1:56,Austin McCormick 2 yd pass from Stan Francisco. (Herbert Prohaska kick),3,19
8,3,TD,14:43,Deon Taylor 105 yd kickoff return. (Herbert Prohaska kick),3,26
9,3,TD,10:09,Saba Donut 20 yd pass from Jay Cue. (J.J. Jay-Jaymison (R) kick),10,26
11,4,FG,15:00,39 yd FG by J.J. Jay-Jaymison (R),13,26
12,4,TD,11:52,Marcella Toriki 2 yd run. (Herbert Prohaska kick),13,33
13,4,TD,4:13,Marcella Toriki 11 yd pass from Stan Francisco. (Herbert Prohaska kick),13,40
