,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,TD,6:39,Nate Swift 35 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),7,0
2,1,TD,6:07,Dorfus Jimbo (R) 1 yd run. (ForThe Brand (R) kick),7,7
4,2,TD,8:58,Tommy Helanen 9 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),14,7
5,2,TD,5:38,Marquise Brown 1 yd run. (ForThe Brand (R) kick),14,14
6,2,FG,3:17,43 yd FG by Stephen Harris Jr,17,14
8,3,TD,9:48,Nate Swift 24 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),24,14
9,3,FG,6:37,20 yd FG by Stephen Harris Jr,27,14
10,3,FG,2:06,26 yd FG by Stephen Harris Jr,30,14
12,4,FG,14:01,30 yd FG by ForThe Brand (R),30,17
13,4,FG,6:30,41 yd FG by Stephen Harris Jr,33,17
14,4,TD,3:00,Marquise Brown 10 yd run. (2pt conversion good),33,25
