Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Ishigawa, H.",COL,12,0,1,0,0,0,0,0,0,0,0,0,5,11
"Tillman, M.",COL,10,1,0,1,0,0,0,0,0,0,0,0,5,11
"Danger, D.",COL,6,0,1,0,0,0,0,0,0,0,0,0,5,11
"Sandoval, A.",COL,6,0,0,0,0,0,0,0,0,0,0,0,5,11
"Thibault, A.",COL,6,0,0,0,0,0,0,0,0,0,0,0,5,11
"Miller, H.",COL,5,0,0,1,1,0,0,0,0,0,0,0,5,11
"Anderson, R.",COL,4,0,0,0,0,0,0,0,0,0,0,0,5,11
"Collins, V.",COL,3,1,0,0,0,0,0,0,0,0,0,0,5,11
"Pierno, N.",COL,3,0,0,0,0,0,0,0,0,0,0,0,5,11
"Ludvig, O.",COL,1,0,0,3,1,0,0,0,0,0,0,0,5,11
"Robertson, A.",PHI,11,0,0,0,0,0,0,0,0,0,0,0,5,11
"Bush, C.",PHI,9,0,0,2,0,0,0,0,0,0,0,0,5,11
"Becker, K.",PHI,8,0,0,2,0,0,0,0,0,0,0,0,5,11
"Bly Jr., A.",PHI,7,0,0,1,0,0,0,0,0,0,0,0,5,11
"Felix, L.",PHI,7,0,0,3,1,0,0,0,0,0,0,0,5,11
"Garnett, L.",PHI,4,0,0,2,2,0,0,0,0,0,0,0,5,11
"Cobalt, R.",PHI,2,0,0,0,0,0,0,0,0,0,0,0,5,11
"Weathers III, B.",PHI,2,1,0,0,0,0,0,0,0,0,0,0,5,11
"Davidson, D.",PHI,1,0,0,0,0,0,0,0,0,0,0,0,5,11
"Kamaka, E.",PHI,1,0,0,0,0,0,0,0,0,0,0,0,5,11
"Falconi, A.",PHI,0,0,0,0,0,0,0,0,0,0,0,0,5,11
