,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,TD,12:37,Mark Grau 1 yd pass from Micycle McCormick. (Peg Leg kick),0,7
2,1,TD,4:32,Mark Grau 4 yd pass from Micycle McCormick. (Peg Leg kick),0,14
3,1,TD,0:35,Marquise Brown 2 yd run. (Kulture (R) Fulture kick),7,14
5,2,TD,9:09,Marquise Brown 4 yd run. (Kulture (R) Fulture kick),14,14
6,2,FG,6:52,36 yd FG by Kulture (R) Fulture,17,14
7,2,TD,2:17,Fox North 9 yd pass from Micycle McCormick. (Peg Leg kick),17,21
9,3,TD,12:27,Dwayne Aaron 6 yd pass from Micycle McCormick. (Peg Leg kick),17,28
10,3,TD,8:31,Conall O'Sullivan 6 yd run. (Kulture (R) Fulture kick),24,28
12,4,FG,14:07,31 yd FG by Peg Leg,24,31
13,4,FG,5:18,22 yd FG by Peg Leg,24,34
14,4,TD,1:14,Steven O'Sullivan 1 yd pass from Adriana (R) Falconi. (Kulture (R) Fulture kick),31,34
