,Q,Score Type,Time Remaining,Play,PHI,LV
1,1,FG,12:44,45 yd FG by Brandon Walsh,0,3
2,1,FG,0:42,30 yd FG by Brandon Walsh,0,6
4,2,TD,13:34,Alexandre LeClair 17 yd pass from Josh Bercovici. (Brandon Walsh kick),0,13
5,2,TD,1:30,Fox North 19 yd pass from Clifford Rove. (Stephen Harris kick),7,13
7,3,TD,10:30,Connor Tanner 18 yd pass from Josh Bercovici. (Brandon Walsh kick),7,20
8,3,FG,6:23,25 yd FG by Stephen Harris,10,20
9,3,FG,3:55,43 yd FG by Stephen Harris,13,20
10,3,TD,0:00,Paul DiMirio 8 yd pass from Clifford Rove. (Stephen Harris kick),20,20
12,4,FG,8:43,22 yd FG by Stephen Harris,23,20
13,4,FG,1:33,24 yd FG by Stephen Harris,26,20
14,4,TD,0:24,Kristoffer O'Sullivan 62 yd interception return. (Stephen Harris kick),33,20
