,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,TD,12:21,Mark Grau 3 yd pass from Micycle McCormick. (Peg Leg kick),7,0
2,1,TD,7:09,Micycle McCormick 15 yd run. (Peg Leg kick),14,0
3,1,TD,1:57,Marquise Brown 3 yd pass from Adriana Falconi. (Kulture Fulture kick),14,7
5,2,TD,14:18,James (R) Bishop 6 yd pass from Micycle McCormick. (Peg Leg kick),21,7
6,2,FG,10:52,20 yd FG by Kulture Fulture,21,10
7,2,TD,5:27,Howard Miller 8 yd pass from Micycle McCormick. (Peg Leg kick),28,10
8,2,TD,2:43,Marquise Brown 1 yd run. (Kulture Fulture kick),28,17
10,3,TD,12:57,Devo Cansino 1 yd run. (Peg Leg kick),35,17
11,3,TD,4:11,Ricky (R) Flores 4 yd run. (Kulture Fulture kick),35,24
13,4,TD,14:28,Achilles Hondo 6 yd pass from Adriana Falconi. (2pt conversion failed),35,30
14,4,FG,5:12,39 yd FG by Peg Leg,38,30
15,4,TD,0:00,LaMarcus Strike 10 yd run. (Peg Leg kick),45,30
