,Q,Score Type,Time Remaining,Play,AZ,YKW
1,1,TD,10:52,Brock Landers 11 yd pass from Andrew Reese. (Spencer Lawes kick),7,0
2,1,TD,8:45,Jeffrey Murphy 3 yd run. (Spencer Lawes kick),14,0
3,1,TD,1:11,Nate Swift 40 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),14,7
5,2,TD,10:28,Slim Shady 3 yd run. (Spencer Lawes kick),21,7
6,2,FG,6:22,33 yd FG by Spencer Lawes,24,7
7,2,FG,2:57,27 yd FG by Stephen Harris Jr,24,10
9,3,TD,9:56,Nate Swift 12 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),24,17
10,3,FG,1:49,41 yd FG by Stephen Harris Jr,24,20
12,4,FG,14:07,46 yd FG by Spencer Lawes,27,20
13,4,SF,12:24,Jeffrey Murphy tackled for a safety.,27,22
14,4,FG,9:51,28 yd FG by Stephen Harris Jr,27,25
15,4,FG,4:35,39 yd FG by Stephen Harris Jr,27,28
