,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,10:27,Clee Hardrool 64 yd interception return. (Joseph Lombardi kick),7,0
2,1,TD,3:54,Jordan Yates 3 yd run. (Iyah Blewitt kick),7,7
4,2,FG,10:07,26 yd FG by Joseph Lombardi,10,7
5,2,TD,5:50,Jordan Yates 1 yd run. (Iyah Blewitt kick),10,14
6,2,TD,1:32,Jordan Yates 8 yd run. (Iyah Blewitt kick),10,21
8,3,TD,13:09,Torque Lewith 18 yd interception return. (Iyah Blewitt kick),10,28
9,3,FG,6:55,41 yd FG by Iyah Blewitt,10,31
10,3,TD,5:26,Shane Weston 45 yd punt return. (Iyah Blewitt kick),10,38
11,3,TD,2:44,Bailey Cook 37 yd pass from Mat Akselsen. (Joseph Lombardi kick),17,38
13,4,FG,6:28,45 yd FG by Joseph Lombardi,20,38
14,4,TD,0:00,DJ Law 10 yd pass from Mat Akselsen. (Joseph Lombardi kick),27,38
