,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,10:47,Xavier Flash 35 yd pass from Joliet L. Christ. (Neo Donaldson kick),0,7
2,1,TD,7:02,Dick Wizardry 10 yd run. (None Forfeit kick),7,7
3,1,TD,0:57,Kazimir Oles 38 yd pass from Joliet L. Christ. (Neo Donaldson kick),7,14
5,2,FG,4:29,32 yd FG by None Forfeit,10,14
7,3,TD,11:06,Kazimir Oles 37 yd pass from Joliet L. Christ. (Neo Donaldson kick),10,21
8,3,TD,5:00,Brad Pennington 10 yd pass from Ryan Applehort. (None Forfeit kick),17,21
9,3,FG,3:33,53 yd FG by Neo Donaldson,17,24
10,3,TD,1:20,Chris Orosz 1 yd run. (Neo Donaldson kick),17,31
12,4,FG,13:19,49 yd FG by None Forfeit,20,31
13,4,FG,5:15,20 yd FG by Neo Donaldson,20,34
