Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Moore, S.",AZ,8,45,5.6,11,0,5,14
"Hardwick, S.",AZ,7,101,14.4,30,1,5,14
"Willie, T.",AZ,3,24,8,9,0,5,14
"Shady, S.",AZ,2,13,6.5,9,0,5,14
"Goomba, M.",AZ,2,12,6,9,0,5,14
"Hasselhoff, F.",AZ,1,7,7,7,0,5,14
"Gore, B.",AZ,1,6,6,6,0,5,14
"Crush, C.",OCO,6,88,14.7,44,1,5,14
"Sunnycursed, N.",OCO,5,109,21.8,37,1,5,14
"Adams, R.",OCO,5,103,20.6,39,0,5,14
"Zephyrous, S.",OCO,5,35,7,9,0,5,14
"Anoa'i, D.",OCO,4,38,9.5,15,0,5,14
"Blaze, J.",OCO,2,11,5.5,6,0,5,14
"McPoyal, G.",OCO,1,10,10,10,0,5,14
