Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Harrison, H.",OCO,1,10,1,0
"Banks II, D.",OCO,1,5,0,0
"Ginsberg, D.",OCO,1,10,0,0
"Pak, Y.",OCO,0,0,4,0
"Johns, A.",OCO,0,0,3,0
"Wokkenfuss, G.",OCO,0,0,3,0
"Tony, P.",OCO,0,0,2,0
"Reed, A.",OCO,0,0,1,0
"Arbage, G.",AZ,2,15,4,0
"Unk, J.",AZ,2,25,4,0
"Rash, T.",AZ,1,5,6,1
"Landers, B.",AZ,1,5,0,0
"Montgomery, B.",AZ,1,3,0,0
"Oles, K.",AZ,1,10,0,0
"Aste, W.",AZ,0,0,5,0
"Goomba, M.",AZ,0,0,3,0
"Ebris, D.",AZ,0,0,2,0
"Irving, J.",AZ,0,0,2,0
"Shady, S.",AZ,0,0,1,0
