Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Grievous, L.",OCO,12,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Schneider, D.",OCO,12,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Biggums, T.",OCO,9,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Storm, J.",OCO,6,0,2,0/0,1,0,0,0,"[0, 0, 0]"
"Lattimer, A.",OCO,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Abernathy, K.",OCO,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mbanefo, K.",OCO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ginsberg, D.",OCO,2,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Salami, T.",OCO,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Showbiz, G.",OCO,2,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Skarsgard, T.",OCO,1,0,1,1/0,0,0,0,0,"[0, 0, 0]"
"Mughes, H.",AZ,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Lee, L.",AZ,7,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"McKinnie, L.",AZ,7,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Vans, R.",AZ,6,0,0,1/1,2,0,0,0,"[0, 0, 0]"
"Montgomery, B.",AZ,5,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Maulolo, C.",AZ,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Morris, R.",AZ,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Barnes, B.",AZ,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Masters, S.",AZ,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Spector, M.",AZ,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Aste, W.",AZ,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Knight, L.",AZ,0,0,0,0/0,1,0,0,0,"[0, 0, 0]"
