Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Steele, R.",BAL,1,15,3,0
"Bigby, L.",BAL,1,15,2,0
"Jeremy, R.",BAL,0,0,7,0
"Star, L.",BAL,0,0,7,0
"Diggler, D.",BAL,0,0,6,0
"Grey, S.",BAL,0,0,2,0
"Trevor, C.",BAL,0,0,0,1
"Tackle, L.",COL,1,15,4,0
"Vincent, M.",COL,1,5,1,0
"Bacon, T.",COL,1,5,0,0
"Forty-Two, L.",COL,1,10,0,0
"Knurtsson, K.",COL,1,5,0,0
"Ocewilder, S.",COL,1,5,0,0
"Guard, R.",COL,0,0,3,0
"Centre, S.",COL,0,0,2,0
"King, A.",COL,0,0,2,0
"Tackle, R.",COL,0,0,2,0
"Damian-Luna, B.",COL,0,0,1,0
"Guard, L.",COL,0,0,1,0
