Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Murphy, J.",AZ,1,5,0,0,8,16
"Vans, R.",AZ,1,5,0,0,8,16
"Arbage, G.",AZ,0,0,7,0,8,16
"Aste, W.",AZ,0,0,4,0,8,16
"Rash, T.",AZ,0,0,4,0,8,16
"Ebris, D.",AZ,0,0,3,1,8,16
"Irving, J.",AZ,0,0,3,0,8,16
"Moore, S.",AZ,0,0,2,0,8,16
"Unk, J.",AZ,0,0,2,0,8,16
"Zephyrous, S.",AZ,0,0,1,0,8,16
"Chains, J.",SJS,2,10,4,0,8,16
"Willis, T.",SJS,1,5,5,1,8,16
"Johnson, R.",SJS,1,5,2,0,8,16
"Pennington, C.",SJS,1,15,0,0,8,16
"Tell, W.",SJS,1,3,0,0,8,16
"Jeffries, W.",SJS,0,0,6,0,8,16
"Paracomida, G.",SJS,0,0,3,0,8,16
"Olsen, C.",SJS,0,0,2,0,8,16
"Orosz, C.",SJS,0,0,1,0,8,16
"Wright, D.",SJS,0,0,1,0,8,16
