,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,TD,8:49,Ashley Owens 1 yd run. (Jordan Jackson (R) XP no good),6,0
2,1,TD,2:30,Randy Vuxta (R) 1 yd pass from Brock Phoenix (R). (Venus Powers (R) kick),6,7
4,2,TD,14:38,James Bishop 1 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),13,7
5,2,FG,5:16,24 yd FG by Jordan Jackson (R),16,7
6,2,TD,1:02,Randy Vuxta (R) 3 yd pass from Brock Phoenix (R). (Venus Powers (R) kick),16,14
8,3,FG,10:16,38 yd FG by Venus Powers (R),16,17
9,3,FG,4:45,47 yd FG by Venus Powers (R),16,20
10,3,TD,0:41,Ashley Owens 9 yd run. (Jordan Jackson (R) kick),23,20
12,4,FG,8:34,29 yd FG by Jordan Jackson (R),26,20
13,4,FG,0:05,28 yd FG by Jordan Jackson (R),29,20
