,Q,Score Type,Time Remaining,Play,AUS,OCO
1,1,TD,10:37,Hugh Mongo 51 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,7
2,1,TD,4:31,Jeffrey Phillips (R) 29 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,14
3,1,TD,0:15,Future Trunks 38 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,21
5,2,SF,14:26,Easton Cole tackled for a safety.,0,23
6,2,TD,9:54,Ludicolo Bigby 2 yd run. (Alex Dasistwirklichseinnachname kick),0,30
7,2,TD,4:43,Ryan Leaf Jr. 1 yd run. (Alfredo Crisco kick),7,30
8,2,TD,4:03,Mako Mendonca 1 yd run. (Alfredo Crisco kick),14,30
9,2,TD,1:32,Rod Tidwell 29 yd pass from Easton Cole. (Alfredo Crisco kick),21,30
11,3,TD,12:26,Ludicolo Bigby 4 yd run. (Alex Dasistwirklichseinnachname kick),21,37
12,3,FG,8:28,19 yd FG by Alex Dasistwirklichseinnachname,21,40
13,3,TD,2:08,Net Gaines 20 yd pass from Easton Cole. (Alfredo Crisco kick),28,40
15,4,FG,15:00,47 yd FG by Alex Dasistwirklichseinnachname,28,43
16,4,FG,11:01,51 yd FG by Alfredo Crisco,31,43
17,4,TD,5:38,Hugh Mongo 26 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),31,50
18,4,TD,1:30,Rod Tidwell 44 yd pass from Easton Cole. (Alfredo Crisco kick),38,50
