Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Jones, D.",OCO,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Abernathy, K.",OCO,8,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Grievous, L.",OCO,7,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Vegeta, P.",OCO,7,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Dream, K.",OCO,6,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Skarsgard, T.",OCO,5,1,1,0/0,0,0,1,0,"[0, 0, 0]"
"Biggums, T.",OCO,4,1,0,0/0,1,1,0,0,"[0, 0, 0]"
"Eagle, R.",OCO,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Ginsberg, D.",OCO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Edmond, H.",AUS,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sexjoke, A.",AUS,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"MacGregor, G.",AUS,6,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Okura, T.",AUS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Rambo, J.",AUS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Summers, H.",AUS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Idlewyld, K.",AUS,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kuusela, G.",AUS,3,3,0,0/0,0,0,0,0,"[0, 0, 0]"
"McTackle, R.",AUS,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Egghands, T.",AUS,2,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Lavelle Jr., D.",AUS,2,0,0,0/0,3,0,0,0,"[0, 0, 0]"
